std_smiles,heavy_atom_count,pains_alert_count,pains_alert_names,smiles,name,source_id
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,22.0,0.0,,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,LETROZOLE112809-51-5,H020
CN(C)CCOC(c1ccccc1)c1ccccc1,19.0,0.0,,CN(C)CCOC(c1ccccc1)c1ccccc1,,D3630
O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,23.0,0.0,,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,LY 294002 HCl,L9908
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,19.0,0.0,,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,DORZOLAMIDE HYDROCHLORIDE,2440B
Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,28.0,0.0,,Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,reproterol,R144650
CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,29.0,0.0,,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,delta6-Testosterone Enanthate,AN-44241
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,23.0,0.0,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,Levonorgestrel,H088
COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,39.0,0.0,,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,HOMOHARRINGTONINE,HY-14944
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(Cc3sc(=O)[nH]c3O)cc1)O2,31.0,0.0,,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,Troglitazone,AKOS000281116
CN1CCC2(CCN3CCc4c(oc5ccccc45)C3C2)N(C)C1=O,25.0,0.0,,CN1CCC2(CCN3CCc4c(oc5ccccc45)C3C2)N(C)C1=O,MK-912,M7065
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,28.0,0.0,,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,TRIMEBUTINE MALEATE,MFCD00133873
COc1ccc(CCNc2nc(N3CCc4cc(OC)c(OC)cc4C3)c3cc(OC)c(OC)cc3n2)cc1OC,41.0,0.0,,COc1ccc(CCNc2nc(N3CCc4cc(OC)c(OC)cc4C3)c3cc(OC)c(OC)cc3n2)cc1OC,CP-100356 monohydrochloride,PZ0171-25MG
CNC(C)C(=O)NC1CN(C(=O)CC(C)C)CC[C@H]2CCC(C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,41.0,0.0,,CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,AT-406,A11163
N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,27.0,0.0,,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,besifloxacin hydrochloride,MFCD14636632
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,22.0,0.0,,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,1-cyclohexyl-1-phenyl-3-(1-piperidinyl)-1-propanol,408163421
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,43.0,0.0,,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PKC412,2992
CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)C(C(=O)O)C[C@H]1N=C(N)N,23.0,0.0,,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,Peramivir,H027-5110
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,19.0,0.0,,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Triamterene; Triamterene396-01-0,249451832
CC(C)NCC(O)COc1ccccc1-n1cccc1,20.0,0.0,,CC(C)NCC(O)COc1ccccc1-n1cccc1,Isamoltane hemifumarate,992
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)[C@H]2SC1,25.0,0.0,,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,Cefadroxil,C235750
N=C(N)NCc1cccc(I)c1,12.0,0.0,,N=C(N)NCc1cccc(I)c1,N-(3-iodobenzyl)guanidine; m-Iodobenzylguanidine hemisulfate,3574193463
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,31.0,0.0,,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,MEBEVERINE HYDROCHLORIDE,MFCD00083411
NCC1CCC(C(=O)O)CC1,11.0,0.0,,NC[C@H]1CC[C@H](C(=O)O)CC1,"tranexamic acid, Xenoport",A0236
CCOC(=O)NNc1nncc2ccccc12,17.0,0.0,,CCOC(=O)NNc1nncc2ccccc12,TODRALAZINE,MFCD00057321
NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,24.0,0.0,,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O,Cyclothiazide,16335
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,31.0,0.0,,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,Glipizide,127645791
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,19.0,0.0,,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,Metylperon,2495
OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,31.0,0.0,,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,Empagliflozin,41218
CN=C(NC#N)NCCSCc1[nH]cnc1C,17.0,0.0,,CN/C(=N\C#N)NCCSCc1nc[nH]c1C,Cimetidine,3518477505
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,35.0,0.0,,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,Pralatrexate(Folotyn),HY-10446
C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,32.0,0.0,,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,Betulin,MFCD00016802
CCCCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O,23.0,0.0,,CCCCC[C@H](O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O,15(S)-HETE,U17724
Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2)cc1,25.0,0.0,,Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2)cc1,GLG-302,HY-15146
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,38.0,0.0,,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,BI-2536,A10134
COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,38.0,0.0,,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,Vicriviroc Malate,CBR-HVAC-05978
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,28.0,0.0,,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,Meclizine hydrochloride,Z53003552
Oc1c(Cl)cc(Cl)c2cccnc12,13.0,0.0,,Oc1c(Cl)cc(Cl)c2cccnc12,Chloroxine,T5752182
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,16.0,0.0,,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,"2',3'-Didehydro-3'-deoxythymidine; STAVUDINE",110978280
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,21.0,0.0,,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Furosemide,110967013
